PointName,Date,TotalBACS,Year,AREA,ROUTE,Time,Temp,Wind ,Cloud
J1,125,1,2015,1,1,454,56,1,0
J1,126,0,2015,1,1,362,52,0,0
J1,127,0,2015,1,1,366,62,0,85
J12,125,0,2015,1,1,645,74,1,1
J12,126,0,2015,1,1,423,55,0,0
J12,127,0,2015,1,1,412,65,0,85
J16,125,0,2015,1,1,630,73,4,1
J16,126,1,2015,1,1,439,55,0,0
J16,127,1,2015,1,1,425,65,0,85
J18,126,0,2015,1,1,656,80,0,75
J18,126,0,2015,1,1,462,57,0,0
J18,127,1,2015,1,1,436,65,0,90
J21,126,0,2015,1,1,638,80,0,50
J21,126,0,2015,1,1,515,57,0,0
J21,127,0,2015,1,1,456,65,0,80
J23,125,0,2015,1,1,484,56,1,0
J23,126,0,2015,1,1,494,57,0,0
J23,127,0,2015,1,1,475,65,0,75
J3,125,1,2015,1,1,447,56,1,0
J3,126,0,2015,1,1,372,52,0,0
J3,127,0,2015,1,1,356,60,5,75
J7,125,0,2015,1,1,435,56,1,0
J7,126,0,2015,1,1,381,52,0,0
J7,127,0,2015,1,1,345,60,0,75
J9,125,0,2015,1,1,665,75,4,5
J9,126,0,2015,1,1,401,55,0,0
J9,127,0,2015,1,1,395,62,0,80
R1,125,3,2015,1,1,418,56,1,0
R1,126,3,2015,1,1,516,60,0,0
R1,127,3,2015,1,1,405,65,0,75
R12,125,2,2015,1,1,533,64,1,2
R12,126,0,2015,1,1,375,65,0,10
R12,127,2,2015,1,1,552,65,10,70
R14,125,0,2015,1,1,363,64,4,4
R14,126,0,2015,1,1,576,70,0,10
R14,127,0,2015,1,1,346,65,5,80
R16,125,2,2015,1,1,564,64,4,4
R16,126,0,2015,1,1,476,70,0,30
R16,127,0,2015,1,1,446,65,5,80
R18,125,0,2015,1,1,388,64,4,2
R18,126,0,2015,1,1,596,70,0,40
R18,127,1,2015,1,1,465,65,10,90
R20,125,0,2015,1,1,461,64,1,2
R20,126,0,2015,1,1,445,70,0,40
R20,127,0,2015,1,1,482,65,10,95
R25,125,1,2015,1,1,432,56,1,0
R25,126,1,2015,1,1,500,57,0,0
R25,127,0,2015,1,1,490,65,10,95
R3,125,0,2015,1,1,353,56,1,0
R3,126,0,2015,1,1,505,60,0,0
R3,127,1,2015,1,1,384,65,0,75
R5,125,0,2015,1,1,558,57,1,0
R5,126,1,2015,1,1,614,60,0,0
R5,127,1,2015,1,1,540,65,0,75
R6,125,0,2015,1,1,431,57,1,0
R6,126,1,2015,1,1,526,60,0,0
R6,127,0,2015,1,1,416,65,5,60
R8,125,0,2015,1,1,510,57,1,2
R8,126,1,2015,1,1,400,60,0,5
R8,127,0,2015,1,1,586,65,5,60
K10,125,0,2015,1,2,613,58,0,0
K10,128,0,2015,1,2,628,64,4,0
K12,125,0,2015,1,2,573,55,0,5
K12,128,0,2015,1,2,602,64,1,2
K15,125,1,2015,1,2,346,55,0,0
K15,128,0,2015,1,2,607,70,4,2
K17,125,0,2015,1,2,376,55,0,0
K17,128,0,2015,1,2,347,70,4,2
K18,125,1,2015,1,2,361,54,0,0
K18,128,0,2015,1,2,573,70,4,2
K2,125,1,2015,1,2,416,62,0,0
K2,128,0,2015,1,2,503,62,4,0
K22,125,0,2015,1,2,681,55,0,0
K22,128,0,2015,1,2,373,70,4,15
K6,125,0,2015,1,2,515,62,0,0
K6,128,0,2015,1,2,385,62,1,0
K7,125,1,2015,1,2,524,60,0,0
K7,128,0,2015,1,2,395,64,1,0
K9,125,0,2015,1,2,465,58,0,0
K9,128,0,2015,1,2,646,64,4,0
L12,125,0,2015,1,2,544,62,0,0
L12,128,0,2015,1,2,479,61,1,2
L16,125,1,2015,1,2,634,62,0,0
L16,128,0,2015,1,2,560,61,1,5
L18,125,2,2015,1,2,490,75,0,5
L18,128,1,2015,1,2,625,74,4,20
L21,125,0,2015,1,2,350,70,0,0
L21,128,0,2015,1,2,355,62,1,0
L23,125,2,2015,1,2,452,65,0,0
L23,128,1,2015,1,2,366,62,1,0
L24,125,0,2015,1,2,443,62,0,0
L24,128,0,2015,1,2,549,61,1,0
L6,125,0,2015,1,2,663,80,0,5
L6,126,0,2015,1,2,427,80,0,50
L6,128,0,2015,1,2,426,74,8,35
L9,125,0,2015,1,2,508,78,0,5
L9,126,0,2015,1,2,428,75,0,50
L9,128,0,2015,1,2,408,61,1,0
L99,125,0,2015,1,2,438,82,0,5
L99,127,0,2015,1,2,403,62,0,80
M1,126,0,2015,2,3,644,50,0,0
M1,127,0,2015,2,3,586,57,0,100
M10,126,1,2015,2,3,376,72,0,40
M10,127,0,2015,2,3,463,59,2,100
M12,126,0,2015,2,3,437,60,0,15
M12,127,1,2015,2,3,519,70,10,100
M12,127,0,2015,2,3,448,59,0,100
M14,126,1,2015,2,3,530,65,0,20
M14,127,1,2015,2,3,535,59,0,100
M16,126,2,2015,2,3,404,65,0,25
M16,127,0,2015,2,3,391,59,0,100
M20,126,0,2015,2,3,474,55,0,15
M20,127,0,2015,2,3,401,65,10,95
M20,127,0,2015,2,3,483,61,6,50
M22,126,0,2015,2,3,413,55,0,15
M22,127,0,2015,2,3,495,65,10,95
M22,127,0,2015,2,3,609,61,4,50
M25,126,0,2015,2,3,553,60,0,20
M25,127,0,2015,2,3,596,65,10,95
M25,127,0,2015,2,3,518,57,2,100
M3,126,2,2015,2,3,578,50,0,0
M3,127,1,2015,2,3,536,59,0,100
M5,126,1,2015,2,3,540,50,0,0
M5,127,0,2015,2,3,493,59,2,100
M7,126,1,2015,2,3,515,72,0,25
M7,127,0,2015,2,3,478,65,10,100
M7,127,0,2015,2,3,501,59,0,100
N11,126,0,2015,2,3,466,53,0,10
N11,127,0,2015,2,3,623,61,0,50
N17,125,0,2015,2,3,560,65,1,0
N17,128,0,2015,2,3,633,10,10,15
N2,126,1,2015,2,3,572,50,0,0
N2,127,2,2015,2,3,464,59,2,100
N20,126,0,2015,2,3,379,55,0,10
N20,127,0,2015,2,3,453,61,3,50
N23,126,0,2015,2,3,389,55,0,10
N23,127,0,2015,2,3,418,61,3,50
N26,126,1,2015,2,3,418,70,0,35
N26,127,1,2015,2,3,405,59,0,100
N4,126,0,2015,2,3,431,50,0,0
N4,127,0,2015,2,3,365,60,0,100
N6,126,0,2015,2,3,345,53,0,10
N6,127,0,2015,2,3,390,60,0,80
N9,126,0,2015,2,3,442,53,0,15
N9,127,0,2015,2,3,376,61,0,80
N12,125,0,2015,2,4,356,53,0,0
N12,128,0,2015,2,4,490,60,5,0
N14,125,0,2015,2,4,455,58,0,0
N14,128,0,2015,2,4,476,60,5,0
P13,125,0,2015,2,4,368,65,0,0
P13,128,0,2015,2,4,496,10,10,5
P16,125,0,2015,2,4,539,65,0,0
P16,128,0,2015,2,4,486,10,10,10
P17,125,1,2015,2,4,560,65,0,0
P17,128,1,2015,2,4,607,10,10,10
P21,125,2,2015,2,4,550,65,0,0
P21,128,1,2015,2,4,578,10,10,0
P22,125,0,2015,2,4,618,65,0,0
P22,128,0,2015,2,4,563,10,10,0
P26,125,0,2015,2,4,588,64,0,0
P26,128,1,2015,2,4,628,10,10,0
P3,125,0,2015,2,4,574,65,0,0
P3,128,0,2015,2,4,593,10,10,5
P9,125,0,2015,2,4,637,65,0,0
P9,128,0,2015,2,4,583,10,10,10
Q11,125,1,2015,2,4,607,58,0,0
Q11,128,0,2015,2,4,645,60,5,0
Q12,125,0,2015,2,4,593,58,0,0
Q12,128,0,2015,2,4,466,60,5,0
Q15,125,0,2015,2,4,481,53,0,0
Q15,128,1,2015,2,4,605,60,5,0
Q19,125,0,2015,2,4,510,53,0,0
Q19,128,0,2015,2,4,552,60,5,0
Q2,125,0,2015,2,4,501,52,0,0
Q2,128,0,2015,2,4,523,60,0,0
Q23,125,0,2015,2,4,565,52,0,0
Q23,128,0,2015,2,4,513,65,5,0
Q4,125,1,2015,2,4,532,52,0,0
Q4,128,2,2015,2,4,576,60,0,0
Q5,125,0,2015,2,4,524,64,0,0
Q5,128,1,2015,2,4,546,65,10,0
Q7,125,0,2015,2,4,591,58,0,0
Q7,128,0,2015,2,4,534,60,0,0
