Name Year Run,TotalBACS
A1 2006 1,0
A1 2006 2,0
A1 2006 3,0
A1 2006 4,0
A1 2006 5,0
A10 2006 1,0
A10 2006 2,0
A10 2006 3,0
A10 2006 4,0
A10 2006 5,0
A11 2006 1,0
A11 2006 2,0
A11 2006 3,0
A11 2006 4,0
A11 2006 5,0
A14 2006 1,0
A14 2006 2,0
A14 2006 3,0
A14 2006 4,0
A14 2006 5,0
A15 2006 1,0
A15 2006 2,0
A15 2006 3,1
A15 2006 4,1
A15 2006 5,1
A16 2006 1,0
A16 2006 2,1
A16 2006 3,0
A16 2006 4,0
A16 2006 5,0
A18 2006 1,0
A18 2006 2,0
A18 2006 3,0
A18 2006 4,0
A18 2006 5,0
A20 2006 1,1
A20 2006 2,0
A20 2006 3,0
A20 2006 4,0
A20 2006 5,0
A21 2006 1,0
A21 2006 2,0
A21 2006 3,1
A21 2006 4,0
A21 2006 5,1
A22 2006 1,0
A22 2006 2,0
A22 2006 3,0
A22 2006 4,0
A22 2006 5,0
A23 2006 1,0
A23 2006 2,0
A23 2006 3,0
A23 2006 4,0
A23 2006 5,0
A27 2006 1,1
A27 2006 2,0
A27 2006 3,0
A27 2006 4,0
A27 2006 5,0
A28 2006 1,0
A4 2006 1,0
A4 2006 2,0
A4 2006 3,1
A4 2006 4,0
A4 2006 5,0
A5 2006 1,0
A5 2006 2,0
A5 2006 3,1
A5 2006 4,1
A5 2006 5,1
A8 2006 1,0
A8 2006 2,1
A8 2006 3,1
A8 2006 4,0
A8 2006 5,0
B1 2006 1,0
B1 2006 2,0
B1 2006 3,0
B1 2006 4,0
B1 2006 5,0
B11 2006 1,2
B11 2006 2,1
B11 2006 3,0
B11 2006 4,1
B11 2006 5,0
B15 2006 1,1
B15 2006 2,0
B15 2006 3,0
B15 2006 4,0
B15 2006 5,1
B17 2006 1,0
B17 2006 2,1
B17 2006 3,1
B17 2006 4,1
B17 2006 5,0
B19 2006 1,0
B19 2006 2,0
B19 2006 3,1
B19 2006 4,0
B19 2006 5,0
B2 2006 1,0
B2 2006 2,0
B2 2006 3,1
B2 2006 4,0
B2 2006 5,0
B21 2006 1,0
B21 2006 2,0
B21 2006 3,1
B21 2006 4,1
B21 2006 5,0
B22 2006 1,0
B22 2006 2,0
B22 2006 3,0
B22 2006 4,0
B22 2006 5,0
B23 2006 1,1
B23 2006 2,0
B23 2006 3,0
B23 2006 4,0
B23 2006 5,0
B26 2006 1,1
B26 2006 2,1
B26 2006 3,0
B26 2006 4,0
B26 2006 5,0
B3 2006 1,0
B3 2006 2,0
B3 2006 3,0
B3 2006 4,0
B3 2006 5,0
B4 2006 1,0
B4 2006 2,0
B4 2006 3,0
B4 2006 4,0
B4 2006 5,0
B5 2006 1,0
B5 2006 2,0
B5 2006 3,0
B5 2006 4,0
B5 2006 5,0
B6 2006 1,0
B6 2006 2,0
B6 2006 3,0
B6 2006 4,0
B6 2006 5,0
B7 2006 1,0
B7 2006 2,0
B7 2006 3,0
B7 2006 4,0
B7 2006 5,0
B8 2006 1,0
B8 2006 2,0
B8 2006 3,0
B8 2006 4,0
B8 2006 5,0
B9 2006 1,0
B9 2006 2,0
B9 2006 3,0
B9 2006 4,0
B9 2006 5,0
C1 2006 1,0
C1 2006 2,0
C1 2006 3,0
C1 2006 4,0
C1 2006 5,0
C11 2006 1,0
C11 2006 2,0
C11 2006 3,0
C11 2006 4,0
C11 2006 5,0
C12 2006 1,0
C12 2006 2,1
C12 2006 3,0
C12 2006 4,0
C12 2006 5,0
C16 2006 1,0
C16 2006 2,0
C16 2006 3,0
C16 2006 4,0
C16 2006 5,0
C18 2006 1,0
C18 2006 2,0
C18 2006 3,0
C18 2006 4,0
C18 2006 5,0
C19 2006 1,1
C19 2006 2,0
C19 2006 3,0
C19 2006 4,1
C19 2006 5,0
C22 2006 1,0
C22 2006 2,0
C22 2006 3,0
C22 2006 4,1
C22 2006 5,0
C24 2006 1,0
C24 2006 2,0
C24 2006 3,0
C24 2006 4,0
C24 2006 5,1
C25 2006 1,0
C25 2006 2,0
C25 2006 3,0
C25 2006 4,0
C25 2006 5,1
C27 2006 1,0
C27 2006 2,0
C27 2006 3,0
C27 2006 4,0
C27 2006 5,0
C28 2006 1,1
C28 2006 2,1
C28 2006 3,0
C28 2006 4,0
C28 2006 5,0
C3 2006 1,0
C3 2006 2,1
C3 2006 3,0
C3 2006 4,0
C3 2006 5,0
C5 2006 1,1
C5 2006 2,0
C5 2006 3,0
C5 2006 4,0
C5 2006 5,0
C6 2006 1,0
C6 2006 2,0
C6 2006 3,0
C6 2006 4,0
C6 2006 5,0
C9 2006 1,0
C9 2006 2,0
C9 2006 3,0
C9 2006 4,1
C9 2006 5,0
D11 2006 1,0
D11 2006 2,0
D11 2006 3,0
D11 2006 4,1
D11 2006 5,1
D13 2006 1,0
D13 2006 2,0
D13 2006 3,0
D13 2006 4,0
D13 2006 5,0
D14 2006 1,1
D14 2006 2,0
D14 2006 3,0
D14 2006 4,0
D14 2006 5,0
D16 2006 1,0
D16 2006 2,0
D16 2006 3,0
D16 2006 4,0
D16 2006 5,0
D17 2006 1,1
D17 2006 2,1
D17 2006 3,0
D17 2006 4,0
D17 2006 5,1
D18 2006 1,0
D18 2006 2,0
D18 2006 3,0
D18 2006 4,0
D18 2006 5,0
D2 2006 1,3
D2 2006 2,2
D2 2006 3,2
D2 2006 4,2
D2 2006 5,2
D20 2006 1,0
D20 2006 2,2
D20 2006 3,2
D20 2006 4,0
D20 2006 5,0
D23 2006 1,0
D23 2006 2,0
D23 2006 3,0
D23 2006 4,0
D23 2006 5,0
D25 2006 1,0
D25 2006 2,0
D25 2006 3,0
D25 2006 4,0
D25 2006 5,0
D27 2006 1,0
D27 2006 2,0
D27 2006 3,0
D27 2006 4,0
D27 2006 5,0
D29 2006 1,0
D29 2006 2,0
D29 2006 3,0
D29 2006 4,1
D29 2006 5,0
D5 2006 1,1
D5 2006 2,1
D5 2006 3,0
D5 2006 4,0
D5 2006 5,2
D7 2006 1,0
D7 2006 2,1
D7 2006 3,1
D7 2006 4,0
D7 2006 5,0
D9 2006 1,0
D9 2006 2,0
D9 2006 3,0
D9 2006 4,0
D9 2006 5,0
E12 2006 1,0
E12 2006 2,0
E12 2006 3,0
E12 2006 4,0
E12 2006 5,0
E13 2006 1,0
E13 2006 2,0
E13 2006 3,0
E13 2006 4,0
E13 2006 5,0
E16 2006 1,0
E16 2006 2,0
E16 2006 3,0
E16 2006 4,0
E16 2006 5,0
E17 2006 1,0
E17 2006 2,0
E17 2006 3,0
E17 2006 4,0
E17 2006 5,0
E19 2006 1,0
E19 2006 2,0
E19 2006 3,0
E19 2006 4,0
E19 2006 5,0
E2 2006 1,0
E2 2006 2,0
E2 2006 3,0
E2 2006 4,0
E2 2006 5,0
E22 2006 1,0
E22 2006 2,0
E22 2006 3,0
E22 2006 4,0
E22 2006 5,0
E23 2006 1,0
E23 2006 2,0
E23 2006 3,0
E23 2006 4,0
E23 2006 5,0
E25 2006 1,0
E25 2006 2,0
E25 2006 3,0
E25 2006 4,0
E25 2006 5,0
E26 2006 1,0
E26 2006 2,0
E26 2006 3,0
E26 2006 4,0
E26 2006 5,0
E4 2006 1,2
E4 2006 2,1
E4 2006 3,1
E4 2006 4,1
E4 2006 5,1
E5 2006 1,2
E5 2006 2,1
E5 2006 3,0
E5 2006 4,1
E5 2006 5,0
E6 2006 1,0
E6 2006 2,0
E6 2006 3,0
E6 2006 4,0
E6 2006 5,0
E7 2006 1,1
E7 2006 2,1
E7 2006 3,0
E7 2006 4,0
E7 2006 5,0
F10 2006 1,0
F10 2006 2,0
F10 2006 3,0
F10 2006 4,0
F10 2006 5,0
F11 2006 1,1
F11 2006 2,0
F11 2006 3,0
F11 2006 4,0
F11 2006 5,0
F12 2006 1,0
F12 2006 2,0
F12 2006 3,0
F12 2006 4,1
F12 2006 5,0
F14 2006 1,0
F14 2006 2,0
F14 2006 3,0
F14 2006 4,0
F14 2006 5,0
F15 2006 1,1
F15 2006 2,1
F15 2006 3,1
F15 2006 4,1
F15 2006 5,0
F17 2006 1,0
F17 2006 2,0
F17 2006 3,0
F17 2006 4,0
F17 2006 5,0
F19 2006 1,0
F19 2006 2,1
F19 2006 3,1
F19 2006 4,1
F19 2006 5,0
F23 2006 1,0
F23 2006 2,0
F23 2006 3,0
F23 2006 4,1
F23 2006 5,0
F25 2006 1,0
F25 2006 2,0
F25 2006 3,0
F25 2006 4,0
F25 2006 5,0
F26 2006 1,0
F26 2006 2,0
F26 2006 3,0
F26 2006 4,0
F26 2006 5,0
F27 2006 1,0
F27 2006 2,0
F27 2006 3,0
F27 2006 4,0
F27 2006 5,0
F29 2006 1,0
F29 2006 2,0
F29 2006 3,0
F29 2006 4,1
F29 2006 5,0
F3 2006 1,1
F3 2006 2,0
F3 2006 3,0
F3 2006 4,0
F3 2006 5,1
F30 2006 1,0
F30 2006 2,0
F30 2006 3,0
F30 2006 4,0
F30 2006 5,0
F4 2006 1,1
F4 2006 2,0
F4 2006 3,0
F4 2006 4,2
F4 2006 5,0
F5 2006 1,1
F5 2006 2,0
F5 2006 3,0
F5 2006 4,0
F5 2006 5,0
F6 2006 1,1
F6 2006 2,0
F6 2006 3,1
F6 2006 4,1
F6 2006 5,0
F7 2006 1,1
F7 2006 2,0
F7 2006 3,0
F7 2006 4,0
F7 2006 5,0
F8 2006 1,1
F8 2006 2,0
F8 2006 3,1
F8 2006 4,1
F8 2006 5,0
F9 2006 1,1
F9 2006 2,0
F9 2006 3,1
F9 2006 4,1
F9 2006 5,0
G12 2006 1,2
G12 2006 2,0
G12 2006 3,0
G12 2006 4,0
G12 2006 5,0
G14 2006 1,1
G14 2006 2,1
G14 2006 3,1
G14 2006 4,2
G14 2006 5,0
G15 2006 1,0
G15 2006 2,0
G15 2006 3,0
G15 2006 4,0
G15 2006 5,0
G18 2006 1,0
G18 2006 2,0
G18 2006 3,0
G18 2006 4,0
G18 2006 5,0
G2 2006 1,0
G2 2006 2,0
G2 2006 3,0
G2 2006 4,0
G2 2006 5,0
G20 2006 1,0
G20 2006 2,0
G20 2006 3,0
G20 2006 4,0
G20 2006 5,0
G21 2006 1,0
G21 2006 2,0
G21 2006 3,0
G21 2006 4,0
G21 2006 5,0
G23 2006 1,2
G23 2006 2,0
G23 2006 3,0
G23 2006 4,0
G23 2006 5,0
G26 2006 1,0
G26 2006 2,0
G26 2006 3,0
G26 2006 4,0
G26 2006 5,0
G27 2006 1,0
G27 2006 2,0
G27 2006 3,0
G27 2006 4,0
G27 2006 5,0
G28 2006 1,0
G28 2006 2,0
G28 2006 3,0
G28 2006 4,0
G28 2006 5,0
G3 2006 1,0
G3 2006 2,0
G3 2006 3,0
G3 2006 4,0
G3 2006 5,1
G4 2006 1,0
G4 2006 2,2
G4 2006 3,1
G4 2006 4,0
G4 2006 5,0
G6 2006 1,0
G6 2006 2,0
G6 2006 3,0
G6 2006 4,0
G6 2006 5,0
G9 2006 1,0
G9 2006 2,0
G9 2006 3,0
G9 2006 4,0
G9 2006 5,0
H1 2006 1,0
H1 2006 2,0
H1 2006 3,0
H1 2006 4,0
H1 2006 5,0
H10 2006 1,0
H10 2006 2,0
H10 2006 3,0
H10 2006 4,0
H10 2006 5,0
H13 2006 1,0
H13 2006 2,0
H13 2006 3,0
H13 2006 4,0
H13 2006 5,1
H15 2006 1,0
H15 2006 2,0
H15 2006 3,0
H15 2006 4,0
H15 2006 5,0
H16 2006 1,0
H16 2006 2,0
H16 2006 3,0
H16 2006 4,0
H16 2006 5,0
H17 2006 1,0
H17 2006 2,0
H17 2006 3,0
H17 2006 4,0
H17 2006 5,0
H22 2006 1,0
H22 2006 2,0
H22 2006 3,0
H22 2006 4,0
H22 2006 5,0
H23 2006 1,0
H23 2006 2,0
H23 2006 3,0
H23 2006 4,0
H23 2006 5,0
H3 2006 1,0
H3 2006 2,0
H3 2006 3,0
H3 2006 4,0
H3 2006 5,0
H6 2006 1,1
H6 2006 2,1
H6 2006 3,0
H6 2006 4,1
H6 2006 5,0
H8 2006 1,0
H8 2006 2,0
H8 2006 3,0
H8 2006 4,0
H8 2006 5,0
J1 2006 1,0
J1 2006 2,0
J1 2006 3,0
J1 2006 4,0
J1 2006 5,0
J1 2007 1,0
J1 2007 2,0
J1 2007 3,0
J1 2008 1,0
J1 2008 2,0
J1 2008 3,0
J1 2009 1,0
J1 2009 2,0
J1 2009 3,0
J1 2011 1,0
J1 2011 2,0
J1 2011 3,0
J1 2012 1,0
J1 2012 2,0
J1 2012 3,0
J1 2013 1,0
J1 2013 2,0
J1 2013 3,0
J1 2014 1,0
J1 2014 2,0
J1 2014 3,0
J1 2014 4,0
J1 2015 1,1
J1 2015 2,0
J1 2015 3,0
J10 2006 1,0
J10 2006 2,0
J10 2006 3,0
J10 2006 4,0
J10 2006 5,0
J10 2007 1,0
J10 2007 2,0
J10 2007 3,0
J10 2008 1,0
J10 2008 2,0
J10 2008 3,0
J10 2009 1,0
J10 2009 2,0
J10 2009 3,0
J11 2006 1,1
J11 2006 2,1
J11 2006 3,0
J11 2006 4,0
J11 2006 5,0
J11 2007 1,0
J11 2007 2,0
J11 2007 3,0
J11 2008 1,1
J11 2008 2,0
J11 2008 3,0
J11 2009 1,0
J11 2009 2,0
J11 2009 3,0
J12 2006 1,1
J12 2006 2,1
J12 2006 3,1
J12 2006 4,1
J12 2006 5,1
J12 2007 1,2
J12 2007 2,0
J12 2007 3,0
J12 2008 1,1
J12 2008 2,0
J12 2008 3,0
J12 2009 1,0
J12 2009 2,0
J12 2009 3,0
J12 2011 1,0
J12 2011 2,0
J12 2011 3,0
J12 2012 1,1
J12 2012 2,2
J12 2012 3,0
J12 2013 1,0
J12 2013 2,0
J12 2013 3,0
J12 2014 1,0
J12 2014 2,0
J12 2014 3,0
J12 2015 1,0
J12 2015 2,0
J12 2015 3,0
J13 2006 1,0
J13 2006 2,0
J13 2006 3,0
J13 2006 4,0
J13 2006 5,0
J13 2007 1,1
J13 2007 2,0
J13 2007 3,0
J13 2008 1,0
J13 2008 2,0
J13 2008 3,0
J13 2009 1,1
J13 2009 2,1
J13 2009 3,0
J14 2006 1,0
J14 2006 2,0
J14 2006 3,1
J14 2006 4,0
J14 2006 5,0
J14 2007 1,2
J14 2007 2,1
J14 2007 3,1
J14 2008 1,0
J14 2008 2,1
J14 2008 3,0
J14 2009 1,0
J14 2009 2,0
J14 2009 3,0
J15 2006 1,0
J15 2006 2,0
J15 2006 3,1
J15 2006 4,0
J15 2006 5,0
J15 2007 1,1
J15 2007 2,0
J15 2007 3,0
J15 2008 1,0
J15 2008 2,0
J15 2008 3,0
J15 2009 1,0
J15 2009 2,0
J15 2009 3,0
J16 2006 1,0
J16 2006 2,0
J16 2006 3,0
J16 2006 4,0
J16 2006 5,1
J16 2007 1,0
J16 2007 2,0
J16 2007 3,0
J16 2008 1,0
J16 2008 2,1
J16 2008 3,0
J16 2009 1,0
J16 2009 2,0
J16 2009 3,0
J16 2011 1,0
J16 2011 2,0
J16 2011 3,0
J16 2012 1,1
J16 2012 2,0
J16 2012 3,1
J16 2013 1,0
J16 2013 2,0
J16 2013 3,0
J16 2014 1,1
J16 2014 2,0
J16 2014 3,0
J16 2015 1,0
J16 2015 2,1
J16 2015 3,1
J17 2006 1,2
J17 2006 2,0
J17 2006 3,1
J17 2006 4,1
J17 2006 5,0
J17 2007 1,0
J17 2007 2,0
J17 2007 3,3
J17 2008 1,1
J17 2008 2,0
J17 2008 3,0
J17 2009 1,0
J17 2009 2,0
J17 2009 3,0
J18 2006 1,1
J18 2006 2,0
J18 2006 3,0
J18 2006 4,0
J18 2006 5,0
J18 2007 1,1
J18 2007 2,3
J18 2007 3,3
J18 2008 1,0
J18 2008 2,0
J18 2008 3,0
J18 2009 1,0
J18 2009 2,0
J18 2009 3,0
J18 2011 1,0
J18 2011 2,1
J18 2011 3,0
J18 2012 1,0
J18 2012 2,0
J18 2012 3,0
J18 2013 1,0
J18 2013 2,0
J18 2013 3,1
J18 2014 1,0
J18 2014 2,0
J18 2015 1,0
J18 2015 2,0
J18 2015 3,1
J19 2006 1,1
J19 2006 2,2
J19 2006 3,2
J19 2006 4,1
J19 2006 5,1
J19 2007 1,0
J19 2007 2,0
J19 2007 3,1
J19 2008 1,1
J19 2008 2,2
J19 2008 3,0
J19 2009 1,0
J19 2009 2,0
J19 2009 3,0
J2 2006 1,1
J2 2006 2,1
J2 2006 3,1
J2 2006 4,1
J2 2006 5,1
J2 2007 1,1
J2 2007 2,1
J2 2007 3,1
J2 2008 1,0
J2 2008 2,0
J2 2008 3,0
J2 2009 1,1
J2 2009 2,1
J2 2009 3,2
J20 2006 1,0
J20 2006 2,0
J20 2006 3,0
J20 2006 4,0
J20 2006 5,1
J20 2007 1,0
J20 2007 2,0
J20 2007 3,0
J20 2008 1,1
J20 2008 2,1
J20 2008 3,0
J20 2009 1,0
J20 2009 2,0
J20 2009 3,0
J21 2006 1,0
J21 2006 2,0
J21 2006 3,0
J21 2006 4,0
J21 2006 5,0
J21 2007 1,0
J21 2007 2,0
J21 2007 3,0
J21 2008 1,0
J21 2008 2,0
J21 2008 3,0
J21 2009 1,0
J21 2009 2,0
J21 2009 3,0
J21 2011 1,0
J21 2011 2,0
J21 2011 3,0
J21 2012 1,0
J21 2012 2,0
J21 2012 3,0
J21 2013 1,0
J21 2013 2,0
J21 2013 3,0
J21 2014 1,0
J21 2014 2,0
J21 2014 3,1
J21 2015 1,0
J21 2015 2,0
J21 2015 3,0
J22 2006 1,0
J22 2006 2,0
J22 2006 3,0
J22 2006 4,0
J22 2006 5,0
J22 2007 1,0
J22 2007 2,1
J22 2007 3,0
J22 2008 1,0
J22 2008 2,0
J22 2008 3,0
J22 2009 1,0
J22 2009 2,0
J22 2009 3,0
J23 2006 1,0
J23 2006 2,0
J23 2006 3,0
J23 2006 4,0
J23 2006 5,0
J23 2007 1,0
J23 2007 2,1
J23 2007 3,3
J23 2008 1,1
J23 2008 2,1
J23 2008 3,0
J23 2009 1,0
J23 2009 2,0
J23 2009 3,0
J23 2011 1,0
J23 2011 2,0
J23 2011 3,0
J23 2012 1,3
J23 2012 2,2
J23 2012 3,1
J23 2013 1,0
J23 2013 2,0
J23 2013 3,1
J23 2014 1,0
J23 2014 2,0
J23 2014 3,1
J23 2015 1,0
J23 2015 2,0
J23 2015 3,0
J24 2006 1,2
J24 2006 2,2
J24 2006 3,1
J24 2006 4,1
J24 2006 5,1
J24 2007 1,3
J24 2007 2,2
J24 2007 3,2
J24 2008 1,2
J24 2008 2,2
J24 2008 3,0
J24 2009 1,0
J24 2009 2,0
J24 2009 3,0
J25 2006 1,0
J25 2006 2,0
J25 2006 3,0
J25 2006 4,0
J25 2006 5,0
J25 2007 1,2
J25 2007 2,1
J25 2007 3,3
J25 2008 1,0
J25 2008 2,2
J25 2008 3,0
J25 2009 1,1
J25 2009 2,0
J25 2009 3,0
J25 2012 1,1
J25 2014 1,0
J3 2006 1,0
J3 2006 2,0
J3 2006 3,0
J3 2006 4,0
J3 2006 5,0
J3 2007 1,0
J3 2007 2,0
J3 2007 3,0
J3 2008 1,1
J3 2008 2,0
J3 2008 3,0
J3 2009 1,0
J3 2009 2,0
J3 2009 3,0
J3 2011 1,0
J3 2011 2,0
J3 2011 3,0
J3 2012 1,1
J3 2012 2,0
J3 2012 3,0
J3 2013 1,0
J3 2013 2,0
J3 2013 3,0
J3 2014 1,0
J3 2014 2,0
J3 2014 3,0
J3 2015 1,1
J3 2015 2,0
J3 2015 3,0
J4 2006 1,0
J4 2006 2,0
J4 2006 3,0
J4 2006 4,0
J4 2006 5,0
J4 2007 1,0
J4 2007 2,0
J4 2007 3,0
J4 2008 1,1
J4 2008 2,0
J4 2008 3,0
J4 2009 1,0
J4 2009 2,0
J4 2009 3,0
J5 2006 1,0
J5 2006 2,0
J5 2006 3,0
J5 2006 4,0
J5 2006 5,0
J5 2007 1,1
J5 2007 2,1
J5 2007 3,0
J5 2008 1,1
J5 2008 2,1
J5 2008 3,1
J5 2009 1,1
J5 2009 2,2
J5 2009 3,1
J6 2006 1,0
J6 2006 2,0
J6 2006 3,0
J6 2006 4,0
J6 2006 5,0
J6 2008 1,0
J6 2008 2,0
J6 2008 3,1
J6 2009 1,0
J6 2009 2,0
J6 2009 3,1
J7 2006 1,2
J7 2006 2,0
J7 2006 3,0
J7 2006 4,0
J7 2006 5,0
J7 2007 1,0
J7 2007 2,0
J7 2007 3,0
J7 2008 1,0
J7 2008 2,0
J7 2008 3,1
J7 2009 1,2
J7 2009 2,0
J7 2009 3,2
J7 2011 1,1
J7 2011 2,1
J7 2011 3,1
J7 2012 1,0
J7 2012 2,0
J7 2012 3,1
J7 2013 1,1
J7 2013 2,0
J7 2013 3,0
J7 2014 1,0
J7 2014 2,0
J7 2014 3,0
J7 2015 1,0
J7 2015 2,0
J7 2015 3,0
J8 2006 1,0
J8 2006 2,1
J8 2006 3,0
J8 2006 4,0
J8 2006 5,0
J8 2007 1,0
J8 2007 2,0
J8 2007 3,0
J8 2008 1,1
J8 2008 2,0
J8 2008 3,0
J8 2009 1,1
J8 2009 2,0
J8 2009 3,1
J9 2006 1,0
J9 2006 2,0
J9 2006 3,0
J9 2006 4,0
J9 2006 5,1
J9 2007 1,2
J9 2007 2,0
J9 2007 3,0
J9 2008 1,0
J9 2008 2,0
J9 2008 3,0
J9 2009 1,1
J9 2009 2,0
J9 2009 3,0
J9 2011 1,0
J9 2011 2,1
J9 2011 3,1
J9 2012 1,0
J9 2012 2,0
J9 2012 3,0
J9 2013 1,0
J9 2013 2,0
J9 2013 3,1
J9 2014 1,1
J9 2014 2,4
